Timestamp,Umur anda? ,Jantina anda? ,Institusi pendidikan MARA yang anda hadiri? ,Bidang pengajian utama anda? ,Tahap pendidikan tertinggi anda? ,Tahun graduasi anda? ,Pendapatan isi rumah bulanan keluarga anda?,Pekerjaan bapa anda,Pekerjaan ibu anda?,Bagaimana anda membiayai pendidikan anda?,Adakah jenis pembiayaan ini memberi kelebihan dalam mencari kerja?,"Jika anda mempunyai pinjaman pendidikan, adakah beban hutang mempengaruhi pilihan kerjaya anda?",Adakah anda kini bekerja?,"Jika bekerja, berapa lama selepas tamat pengajian anda mendapat pekerjaan pertama?",Apakah jenis pekerjaan anda sekarang,Apakah faktor utama yang membantu anda mendapat pekerjaan tersebut?,Apakah sebab utama jika anda tidak bekerja dalam bidang pengajian?,"Jika anda bekerja di luar bidang pengajian, adakah pekerjaan tersebut masih memerlukan kemahiran akademik anda?",Apakah status pekerjaan anda sekarang?,Apakah sektor pekerjaan anda?,Apakah industri pekerjaan anda sekarang?,Apakah jangkaan gaji permulaan yang anda anggap sesuai dengan kelulusan anda?,Berapakah julat gaji bulanan anda sekarang?,Adakah gaji anda bersesuaian dengan kelulusan anda?,Sejauh mana latihan industri/praktikal mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran komunikasi  mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran teknikal mempengaruhi kebolehpasaran anda?,Sejauh mana rangkaian peribadi (networking) mempengaruhi kebolehpasaran anda?,Sejauh mana kelayakan akademik mempengaruhi kebolehpasaran anda?,Adakah anda memiliki sijil profesional tambahan selain ijazah/diploma?,Adakah sijil profesional ini membantu anda dalam mendapatkan pekerjaan?,Adakah majikan anda meminta kelayakan tambahan selain daripada ijazah anda?,Kemahiran tambahan manakah yang paling banyak diminta oleh majikan semasa temu duga? ,Sejauh mana anda bersetuju bahawa universiti telah menyediakan anda untuk pasaran kerja?,Apakah cabaran utama yang anda hadapi dalam mendapatkan pekerjaan?,Adakah anda menjalani internship/praktikal sebelum tamat pengajian?,Bagaimana internship membantu anda dalam mendapatkan pekerjaan?,"Jika tidak menjalani internship, apakah sebab utama?",Apakah bentuk pekerjaan bebas yang anda ceburi sekarang atau bercadang untuk ceburi dalam masa terdekat?,Adakah universiti anda menawarkan kursus atau latihan berkaitan keusahawanan?,"Adakah universiti anda pernah menganjurkan program berkaitan perniagaan atau ekonomi gig seperti hackathon, bootcamp, atau geran permulaan perniagaan?",Adakah program berkaitan perniagaan atau ekonomi gig di universiti membantu anda dalam memulakan atau mengembangkan pekerjaan bebas anda?,Apakah sebab utama anda memilih untuk bekerja dalam ekonomi gig? ,Bagaimanakah anda memperoleh kemahiran untuk bekerja dalam ekonomi gig?,Apakah cabaran utama yang anda hadapi dalam keusahawanan atau ekonomi gig?,Apakah bantuan atau sokongan yang anda rasa perlu untuk berjaya dalam keusahawanan dan ekonomi gig?,Berapakah purata pendapatan bulan anda daripada ekonomi gig?,"Jika diberikan peluang pekerjaan tetap dengan gaji setanding ekonomi gig, adakah anda akan menerimanya?"
3/5/2025 20:41:57,30 tahun ke atas,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Lebih daripada RM10,959",Sektor Awam,Sektor Awam,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja di luar bidang pengajian,Melalui pameran kerjaya atau job fair,"Tiada peluang pekerjaan yang sesuai, Lebih banyak peluang dalam bidang lain","Tidak, pekerjaan saya langsung tidak memerlukan kemahiran akademik saya",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Logistik, Pengangkutan & Rantaian Bekalan","RM2,000 - RM2,999","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",3,5,3,2,5,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan",4,"Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Penghantaran & e-hailing (Grab, FoodPanda, Lalamove), Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas","Ya, tetapi saya tidak rasa ia cukup relevan.","Ya, dan saya pernah menyertai.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 20:57:39,25-29 tahun,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2020,"Kurang daripada RM4,850",Sektor Swasta,Sektor Swasta,Pinjaman pendidikan,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja di luar bidang pengajian,Melalui pameran kerjaya atau job fair,Tiada peluang pekerjaan yang sesuai,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Pelancongan, Hospitaliti & Pengurusan Acara","RM2,000 - RM2,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,5,5,4,4,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah",4,"Tiada pengalaman kerja yang mencukupi, Gaji yang ditawarkan terlalu rendah, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, tetapi hanya sedikit membantu.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 20:59:58,30 tahun ke atas,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Lebih daripada RM10,959",Sektor Awam,Sektor Swasta,Dibiayai sendiri,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja di luar bidang pengajian,"Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan)",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Awam (Kerajaan, Agensi Kerajaan, GLC)","Logistik, Pengangkutan & Rantaian Bekalan","RM3,000 - RM4,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",4,4,4,4,4,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Keupayaan membuat keputusan berdasarkan data",4,Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman,"Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tiada peluang internship yang sesuai.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.",Menjadikan ekonomi gig sebagai sumber pendapatan tambahan.,"Mengikuti kursus atau latihan khusus (online atau offline)., Pengalaman kerja sebelum ini dalam bidang yang sama.",Kurang latihan atau bimbingan dalam bidang ini.,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Platform khas untuk graduan MARA dalam ekonomi gig.","RM3,000 - RM4,999","Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:00:37,25-29 tahun,Perempuan,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2022,"RM4,850 – RM10,959",Bekerja sendiri,Tidak bekerja,Dibiayai sendiri,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,Dihubungi oleh perekrut atau headhunter,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Pertanian, Perladangan & Sumber Asli","RM3,000 - RM4,999","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",5,5,5,5,5,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking",5,"Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Pendidikan & konsultasi (tutor online, coaching, kursus digital)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.","Sukar mendapatkan pekerjaan tetap dalam bidang saya., Menjadikan ekonomi gig sebagai sumber pendapatan tambahan.","Belajar sendiri melalui internet (YouTube, blog, forum)., Mengikuti kursus atau latihan khusus (online atau offline)., Pengalaman kerja sebelum ini dalam bidang yang sama., Kursus atau bimbingan dari universiti.","Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan)., Tiada jaminan pekerjaan dan manfaat seperti KWSP/PERKESO., Sukar mendapat pelanggan atau kerja tetap., Persaingan tinggi dalam industri gig.","Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Platform khas untuk graduan MARA dalam ekonomi gig., Perlindungan sosial (KWSP, PERKESO, insurans).","RM3,000 - RM4,999","Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:03:10,30 tahun ke atas,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pemasaran & Pengurusan Sumber Manusia,Sarjana,2021,"Kurang daripada RM4,850",Sektor Swasta,Tidak bekerja,Pinjaman pendidikan,"Ya, saya mendapat lebih banyak peluang kerana biasiswa/pinjaman","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan)",Tiada peluang pekerjaan yang sesuai,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Pendidikan & Latihan,"RM2,000 - RM2,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",5,5,4,5,5,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Ya, sijil profesional (contoh: CFA, PMP, ACCA)","Kemahiran komunikasi, Kemahiran pembentangan, Kemahiran penulisan profesional",5,"Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tiada peluang internship yang sesuai.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.","Tidak mahu terikat dengan kerja pejabat 9-5., Menjadikan ekonomi gig sebagai sumber pendapatan tambahan.",Mengikuti kursus atau latihan khusus (online atau offline).,Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan).,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 21:11:20,25-29 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2022,"Kurang daripada RM4,850",Bekerja sendiri,Tidak bekerja,Dibiayai sendiri,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Tidak, sedang mencari pekerjaan",Lebih dari 1 tahun,"Pekerja ekonomi gig (Grab, Shopee, freelancer, dsb.)",Memulakan perniagaan sendiri / bekerja dalam ekonomi gig,Tiada peluang pekerjaan yang sesuai,"Tidak, pekerjaan saya langsung tidak memerlukan kemahiran akademik saya","Pekerja ekonomi gig (contoh: Grab, freelancer, Shopee seller)",Ekonomi Gig & Freelancing,"Logistik, Pengangkutan & Rantaian Bekalan","Kurang daripada RM2,000","Kurang daripada RM1,500","Tidak, gaji saya lebih rendah daripada yang sepatutnya",1,4,1,1,1,Tidak,"Ya, ia menjadi faktor utama saya diterima bekerja","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Pemasaran digital dan media sosial, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Kecekapan dalam perisian industri (AutoCAD, Adobe Photoshop, QuickBooks), Keupayaan membuat keputusan berdasarkan data",1,"Kekurangan kemahiran yang dicari majikan, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kriteria pekerjaan tidak sesuai dengan kelayakan akademik saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya, Keadaan ekonomi semasa menyukarkan peluang pekerjaan",Tidak menjalani internship,Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Penghantaran & e-hailing (Grab, FoodPanda, Lalamove)",Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Sukar mendapatkan pekerjaan tetap dalam bidang saya.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan)., Tiada jaminan pekerjaan dan manfaat seperti KWSP/PERKESO.",Platform khas untuk graduan MARA dalam ekonomi gig.,"Kurang daripada RM1,000","Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:11:51,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2022,"Lebih daripada RM10,959",Sektor Swasta,Sektor Swasta,Biasiswa penuh,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Lebih banyak peluang dalam bidang lain,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Awam (Kerajaan, Agensi Kerajaan, GLC)","Kewangan, Perbankan & Insurans","RM3,000 - RM4,999","RM5,000 ke atas","Ya, gaji saya setanding dengan kelulusan saya",4,5,5,5,4,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pengurusan masa dan multitasking, Kemahiran perundingan dan diplomasi",4,"Tiada pengalaman kerja yang mencukupi, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor awam",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Ya, tetapi saya tidak menyertainya.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:18:40,30 tahun ke atas,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2021,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja di luar bidang pengajian,"Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan)",Lebih banyak peluang dalam bidang lain,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Perubatan, Farmasi & Penjagaan Kesihatan","RM2,000 - RM2,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",3,3,3,3,3,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",3,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Pembuatan kandungan (YouTube, TikTok, streaming)","Ya, tetapi saya tidak rasa ia cukup relevan.","Ya, dan saya pernah menyertai.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Persaingan tinggi dalam industri gig., Kurang ilmu tentang pemasaran dan pengurusan kewangan., Kurang latihan atau bimbingan dalam bidang ini.","Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig.","Kurang daripada RM1,000","Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:22:11,30 tahun ke atas,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Diploma,2020,"RM4,850 – RM10,959",Sektor Swasta,Sektor Awam,Pinjaman pendidikan,"Ya, saya mendapat lebih banyak peluang kerana biasiswa/pinjaman","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja di luar bidang pengajian,"Program kerajaan (contoh: MySTEP, Protege, SL1M)",Lebih banyak peluang dalam bidang lain,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Awam (Kerajaan, Agensi Kerajaan, GLC)",Sektor Awam & Perkhidmatan Kerajaan,"RM2,000 - RM2,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,4,4,4,4,Tidak,"Ya, tetapi bukan faktor utama","Ya, sijil profesional (contoh: CFA, PMP, ACCA)","Kemahiran komunikasi, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan",4,"Tiada pengalaman kerja yang mencukupi, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor awam",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tiada peluang internship yang sesuai.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.","Pendapatan dalam ekonomi gig lebih tinggi daripada pekerjaan tetap., Ingin mengembangkan perniagaan sendiri dalam ekonomi gig.",Mengikuti kursus atau latihan khusus (online atau offline).,Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan).,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
3/5/2025 21:28:51,30 tahun ke atas,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Lebih daripada RM10,959",Sektor Swasta,Sektor Awam,Dibiayai sendiri,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Kewangan, Perbankan & Insurans","RM2,000 - RM2,999","RM5,000 ke atas","Ya, gaji saya setanding dengan kelulusan saya",5,5,5,5,5,Tidak,"Ya, ia menjadi faktor utama saya diterima bekerja","Tidak, ijazah sudah mencukupi","Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Keupayaan membuat keputusan berdasarkan data",5,Terlalu banyak persaingan dalam bidang saya,"Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, dan ia sangat membantu.","Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
